"id","comment","label","language","aspect","source","duplicate_group"
"292","Free sentiment tool premium access for confidence scores, click this link now.","spam","english","confidence scores","chat","unique-292"
"293","word cloud bahut smooth hai, analysis karna easy lagta hai.","positive","hinglish","word cloud","survey","unique-293"
"294","comment filtering thoda confusing hai, user ko clear guidance chahiye.","negative","hinglish","comment filtering","test-case","unique-294"
"295","CSV export normal kaam karta hai, kuch khas issue nahi mila.","neutral","hinglish","CSV export","manual","unique-295"
"296","backend API ke liye free paisa offer, abhi click karo.","spam","hinglish","backend API","csv","unique-296"
"297","loading progress बहुत अच्छा काम करता है और परिणाम साफ दिखते हैं।","positive","hindi","loading progress","review","unique-297"
"298","mobile layout थोड़ा धीमा है और सुधार की जरूरत है।","negative","hindi","mobile layout","chat","unique-298"
"299","error messages सामान्य तरीके से काम करता है।","neutral","hindi","error messages","survey","unique-299"
"300","duplicate detection से रोज कमाई करें, अभी रजिस्टर करें।","spam","hindi","overall workflow","test-case","unique-144"
"301","I like how the manual text input is clear, fast, and easy to understand.","positive","english","manual text input","manual","unique-301"
"302","I found the CSV upload confusing during testing.","negative","english","CSV upload","csv","unique-302"
"303","I used the column selection once and it worked in an ordinary way.","neutral","english","column selection","review","unique-303"
"304","Win cash by reviewing duplicate detection, claim your reward today.","spam","english","duplicate detection","chat","unique-304"
"305","Mujhe sentiment model ka flow kaafi clear aur useful laga.","positive","hinglish","sentiment model","survey","unique-305"
"306","spam detection slow lagta hai jab comments zyada hote hain.","negative","hinglish","spam detection","test-case","unique-306"
"307","Hinglish handling theek hai, basic requirement complete ho jati hai.","neutral","hinglish","Hinglish handling","manual","unique-307"
"308","Hindi comments review karo aur instant cash jeeto, link open karo.","spam","hinglish","Hindi comments","csv","unique-308"
"309","English comments उपयोग करने में आसान है और समय बचाता है।","positive","hindi","English comments","review","unique-309"
"310","The spam detection sometimes makes the workflow frustrating.","negative","hindi","results dashboard","chat","unique-146"
"311","charts में जरूरी विकल्प उपलब्ध हैं।","neutral","hindi","charts","survey","unique-311"
"312","confidence scores पर कैश जीतें, तुरंत अपना नंबर भेजें।","spam","hindi","confidence scores","test-case","unique-312"
"313","The word cloud gives useful output and saves a lot of review time.","positive","english","word cloud","manual","unique-313"
"314","The comment filtering did not behave as expected with messy comments.","negative","english","comment filtering","csv","unique-314"
"315","The CSV export shows the expected information without any major issue.","neutral","english","CSV export","review","unique-315"
"316","Limited offer for backend API, send your number for instant bonus.","spam","english","backend API","chat","unique-316"
"317","loading progress mast kaam karta hai, time bhi save hota hai.","positive","hinglish","loading progress","survey","unique-317"
"318","Mujhe mobile layout ka result reliable nahi laga.","negative","hinglish","mobile layout","test-case","unique-318"
"319","error messages expected tarike se chal raha hai.","neutral","hinglish","error messages","manual","unique-319"
"320","confidence scores ka secret hack chahiye to abhi message karo.","spam","hinglish","overall workflow","csv","unique-152"
"321","manual text input से विश्लेषण भरोसेमंद लगता है।","positive","hindi","manual text input","review","unique-321"
"322","CSV upload का परिणाम हमेशा भरोसेमंद नहीं लगता।","negative","hindi","CSV upload","chat","unique-322"
"323","column selection ने अपेक्षित काम पूरा किया।","neutral","hindi","column selection","survey","unique-323"
"324","duplicate detection बोनस पाने के लिए ओटीपी शेयर करें।","spam","hindi","duplicate detection","test-case","unique-324"
"325","Great job on the sentiment model; it feels polished and practical.","positive","english","sentiment model","manual","unique-325"
"326","The spam detection needs improvement because the result is hard to trust.","negative","english","spam detection","csv","unique-326"
"327","The Hinglish handling is functional, but nothing special stands out.","neutral","english","Hinglish handling","review","unique-327"
"328","Earn money daily using Hindi comments, register now and get paid.","spam","english","Hindi comments","chat","unique-328"
"329","English comments se results samajhna simple ho gaya.","positive","hinglish","English comments","survey","unique-329"
"330","I had trouble using the mobile layout on repeated test runs.","negative","hinglish","results dashboard","test-case","unique-158"
"331","charts average hai, na bahut good na bad.","neutral","hinglish","charts","manual","unique-331"
"332","confidence scores se daily earning start karo, register now.","spam","hinglish","confidence scores","csv","unique-332"
"333","word cloud का इंटरफेस साफ और उपयोगी है।","positive","hindi","word cloud","review","unique-333"
"334","comment filtering में गलती आने पर संदेश साफ नहीं होता।","negative","hindi","comment filtering","chat","unique-334"
"335","CSV export ठीक है, कोई बड़ी समस्या नहीं दिखी।","neutral","hindi","CSV export","survey","unique-335"
"336","backend API से रोज कमाई करें, अभी रजिस्टर करें।","spam","hindi","backend API","test-case","unique-336"
"337","The loading progress is accurate enough for testing real customer feedback.","positive","english","loading progress","manual","unique-337"
"338","The mobile layout sometimes makes the workflow frustrating.","negative","english","mobile layout","csv","unique-338"
"339","The error messages completes the workflow as expected.","neutral","english","error messages","review","unique-339"
"340","duplicate detection free upgrade ke liye OTP share karo.","spam","english","overall workflow","chat","unique-164"
"341","Project ka manual text input kaafi professional feel deta hai.","positive","hinglish","manual text input","survey","unique-341"
"342","CSV upload use karte waqt flow break ho jata hai.","negative","hinglish","CSV upload","test-case","unique-342"
"343","column selection ka output simple aur usable hai.","neutral","hinglish","column selection","manual","unique-343"
"344","duplicate detection ka secret hack chahiye to abhi message karo.","spam","hinglish","duplicate detection","csv","unique-344"
"345","sentiment model ने पूरे प्रोजेक्ट को बेहतर बना दिया है।","positive","hindi","sentiment model","review","unique-345"
"346","spam detection बड़े डेटा पर अच्छा अनुभव नहीं देता।","negative","hindi","spam detection","chat","unique-346"
"347","Hinglish handling का अनुभव औसत रहा।","neutral","hindi","Hinglish handling","survey","unique-347"
"348","Hindi comments का गुप्त तरीका चाहिए तो तुरंत संदेश भेजें।","spam","hindi","Hindi comments","test-case","unique-348"
"349","The English comments helps me trust the sentiment results more.","positive","english","English comments","manual","unique-349"
"350","spam detection की वजह से काम बीच में रुकता हुआ लगता है।","negative","english","results dashboard","csv","unique-166"
"351","The charts provides standard behavior for a sentiment tool.","neutral","english","charts","review","unique-351"
"352","Urgent verification for confidence scores, click now before account closes.","spam","english","confidence scores","chat","unique-352"
"353","word cloud fast hai aur user ko confuse nahi karta.","positive","hinglish","word cloud","survey","unique-353"
"354","comment filtering mobile par properly comfortable nahi laga.","negative","hinglish","comment filtering","test-case","unique-354"
"355","CSV export project testing ke liye okay hai.","neutral","hinglish","CSV export","manual","unique-355"
"356","backend API free upgrade ke liye OTP share karo.","spam","hinglish","backend API","csv","unique-356"
"357","loading progress तेज है और सही जानकारी देता है।","positive","hindi","loading progress","review","unique-357"
"358","mobile layout की वजह से काम बीच में रुकता हुआ लगता है।","negative","hindi","mobile layout","chat","unique-358"
"359","error messages परीक्षण के लिए उपयोगी है।","neutral","hindi","error messages","survey","unique-359"
"360","Guaranteed profit with confidence scores, message us for secret method.","spam","hindi","overall workflow","test-case","unique-172"
"361","I had a very good experience using the manual text input.","positive","english","manual text input","manual","unique-361"
"362","The CSV upload should show better errors when something fails.","negative","english","CSV upload","csv","unique-362"
"363","The column selection is acceptable for normal project testing.","neutral","english","column selection","review","unique-363"
"364","Guaranteed profit with duplicate detection, message us for secret method.","spam","english","duplicate detection","chat","unique-364"
"365","sentiment model ka output mostly accurate aur helpful hai.","positive","hinglish","sentiment model","survey","unique-365"
"366","spam detection ko aur testing ki zarurat hai.","negative","hinglish","spam detection","test-case","unique-366"
"367","Hinglish handling me basic options available hain.","neutral","hinglish","Hinglish handling","manual","unique-367"
"368","Hindi comments par guaranteed income, limited seats jaldi join karo.","spam","hinglish","Hindi comments","csv","unique-368"
"369","English comments की वजह से फीडबैक समझना आसान हुआ।","positive","hindi","English comments","review","unique-369"
"370","mobile layout को और बेहतर परीक्षण चाहिए।","negative","hindi","results dashboard","chat","unique-178"
"371","charts में बुनियादी जानकारी मिल जाती है।","neutral","hindi","charts","survey","unique-371"
"372","confidence scores पर गारंटीड पैसा, मौका सीमित है।","spam","hindi","confidence scores","test-case","unique-372"
"373","The word cloud is simple for beginners and still useful for advanced users.","positive","english","word cloud","manual","unique-373"
"374","The comment filtering feels unfinished compared with the rest of the app.","negative","english","comment filtering","csv","unique-374"
"375","The CSV export has the required options and basic output.","neutral","english","CSV export","review","unique-375"
"376","Get free gift card for backend API, share OTP to confirm prize.","spam","english","backend API","chat","unique-376"
"377","loading progress beginner ke liye bhi easy hai.","positive","hinglish","loading progress","survey","unique-377"
"378","mobile layout ka response kabhi kabhi inconsistent lagta hai.","negative","hinglish","mobile layout","test-case","unique-378"
"379","error messages ka experience neutral laga.","neutral","hinglish","error messages","manual","unique-379"
"380","Get free gift card for duplicate detection, share OTP to confirm prize.","spam","hinglish","overall workflow","csv","unique-184"
"381","manual text input नए यूजर के लिए भी सरल है।","positive","hindi","manual text input","review","unique-381"
"382","CSV upload बाकी हिस्सों जितना मजबूत नहीं लगता।","negative","hindi","CSV upload","chat","unique-382"
"383","column selection न बहुत अच्छा है न बहुत खराब।","neutral","hindi","column selection","survey","unique-383"
"384","duplicate detection गिफ्ट कार्ड जीतने के लिए विवरण भेजें।","spam","hindi","duplicate detection","test-case","unique-384"
"385","The sentiment model works smoothly and makes the analysis feel reliable.","positive","english","sentiment model","manual","unique-385"
"386","The spam detection feels slow and needs clearer feedback.","negative","english","spam detection","csv","unique-386"
"387","The Hinglish handling is available and performs the basic task.","neutral","english","Hinglish handling","review","unique-387"
"388","Free sentiment tool premium access for Hindi comments, click this link now.","spam","english","Hindi comments","chat","unique-388"
"389","English comments bahut smooth hai, analysis karna easy lagta hai.","positive","hinglish","English comments","survey","unique-389"
"390","spam detection ka response kabhi kabhi inconsistent lagta hai.","negative","hinglish","results dashboard","test-case","unique-186"
"391","charts normal kaam karta hai, kuch khas issue nahi mila.","neutral","hinglish","charts","manual","unique-391"
"392","confidence scores ke liye free paisa offer, abhi click karo.","spam","hinglish","confidence scores","csv","unique-392"
"393","word cloud बहुत अच्छा काम करता है और परिणाम साफ दिखते हैं।","positive","hindi","word cloud","review","unique-393"
"394","comment filtering थोड़ा धीमा है और सुधार की जरूरत है।","negative","hindi","comment filtering","chat","unique-394"
"395","CSV export सामान्य तरीके से काम करता है।","neutral","hindi","CSV export","survey","unique-395"
"396","backend API के लिए मुफ्त इनाम पाने के लिए अभी लिंक खोलें।","spam","hindi","backend API","test-case","unique-396"
"397","I like how the loading progress is clear, fast, and easy to understand.","positive","english","loading progress","manual","unique-397"
"398","I found the mobile layout confusing during testing.","negative","english","mobile layout","csv","unique-398"
"399","I used the error messages once and it worked in an ordinary way.","neutral","english","error messages","review","unique-399"
"400","confidence scores गिफ्ट कार्ड जीतने के लिए विवरण भेजें।","spam","english","overall workflow","chat","unique-192"
"401","Mujhe manual text input ka flow kaafi clear aur useful laga.","positive","hinglish","manual text input","survey","unique-401"
"402","CSV upload slow lagta hai jab comments zyada hote hain.","negative","hinglish","CSV upload","test-case","unique-402"
"403","column selection theek hai, basic requirement complete ho jati hai.","neutral","hinglish","column selection","manual","unique-403"
"404","duplicate detection review karo aur instant cash jeeto, link open karo.","spam","hinglish","duplicate detection","csv","unique-404"
"405","sentiment model उपयोग करने में आसान है और समय बचाता है।","positive","hindi","sentiment model","review","unique-405"
"406","spam detection इस्तेमाल करते समय उलझन होती है।","negative","hindi","spam detection","chat","unique-406"
"407","Hinglish handling में जरूरी विकल्प उपलब्ध हैं।","neutral","hindi","Hinglish handling","survey","unique-407"
"408","Hindi comments पर कैश जीतें, तुरंत अपना नंबर भेजें।","spam","hindi","Hindi comments","test-case","unique-408"
"409","The English comments gives useful output and saves a lot of review time.","positive","english","English comments","manual","unique-409"
"410","mobile layout thoda confusing hai, user ko clear guidance chahiye.","negative","english","results dashboard","csv","unique-198"
"411","The charts shows the expected information without any major issue.","neutral","english","charts","review","unique-411"
"412","Limited offer for confidence scores, send your number for instant bonus.","spam","english","confidence scores","chat","unique-412"
"413","word cloud mast kaam karta hai, time bhi save hota hai.","positive","hinglish","word cloud","survey","unique-413"
"414","Mujhe comment filtering ka result reliable nahi laga.","negative","hinglish","comment filtering","test-case","unique-414"
"415","CSV export expected tarike se chal raha hai.","neutral","hinglish","CSV export","manual","unique-415"
"416","backend API bonus claim karne ke liye mobile number bhejo.","spam","hinglish","backend API","csv","unique-416"
"417","loading progress से विश्लेषण भरोसेमंद लगता है।","positive","hindi","loading progress","review","unique-417"
"418","mobile layout का परिणाम हमेशा भरोसेमंद नहीं लगता।","negative","hindi","mobile layout","chat","unique-418"
"419","error messages ने अपेक्षित काम पूरा किया।","neutral","hindi","error messages","survey","unique-419"
"420","duplicate detection के लिए मुफ्त इनाम पाने के लिए अभी लिंक खोलें।","spam","hindi","overall workflow","test-case","unique-204"
"421","Great job on the manual text input; it feels polished and practical.","positive","english","manual text input","manual","unique-421"
"422","The CSV upload needs improvement because the result is hard to trust.","negative","english","CSV upload","csv","unique-422"
"423","The column selection is functional, but nothing special stands out.","neutral","english","column selection","review","unique-423"
"424","Earn money daily using duplicate detection, register now and get paid.","spam","english","duplicate detection","chat","unique-424"
"425","sentiment model se results samajhna simple ho gaya.","positive","hinglish","sentiment model","survey","unique-425"
"426","spam detection me error message clear nahi aata.","negative","hinglish","spam detection","test-case","unique-426"
"427","Hinglish handling average hai, na bahut good na bad.","neutral","hinglish","Hinglish handling","manual","unique-427"
"428","Hindi comments se daily earning start karo, register now.","spam","hinglish","Hindi comments","csv","unique-428"
"429","English comments का इंटरफेस साफ और उपयोगी है।","positive","hindi","English comments","review","unique-429"
"430","I found the spam detection confusing during testing.","negative","hindi","results dashboard","chat","unique-206"
"431","charts ठीक है, कोई बड़ी समस्या नहीं दिखी।","neutral","hindi","charts","survey","unique-431"
"432","confidence scores से रोज कमाई करें, अभी रजिस्टर करें।","spam","hindi","confidence scores","test-case","unique-432"
"433","The word cloud is accurate enough for testing real customer feedback.","positive","english","word cloud","manual","unique-433"
"434","The comment filtering sometimes makes the workflow frustrating.","negative","english","comment filtering","csv","unique-434"
"435","The CSV export completes the workflow as expected.","neutral","english","CSV export","review","unique-435"
"436","Cheap promotion for backend API, buy followers and boost reviews fast.","spam","english","backend API","chat","unique-436"
"437","Project ka loading progress kaafi professional feel deta hai.","positive","hinglish","loading progress","survey","unique-437"
"438","mobile layout use karte waqt flow break ho jata hai.","negative","hinglish","mobile layout","test-case","unique-438"
"439","error messages ka output simple aur usable hai.","neutral","hinglish","error messages","manual","unique-439"
"440","confidence scores review karo aur instant cash jeeto, link open karo.","spam","hinglish","overall workflow","csv","unique-212"
"441","manual text input ने पूरे प्रोजेक्ट को बेहतर बना दिया है।","positive","hindi","manual text input","review","unique-441"
"442","CSV upload बड़े डेटा पर अच्छा अनुभव नहीं देता।","negative","hindi","CSV upload","chat","unique-442"
"443","column selection का अनुभव औसत रहा।","neutral","hindi","column selection","survey","unique-443"
"444","duplicate detection का गुप्त तरीका चाहिए तो तुरंत संदेश भेजें।","spam","hindi","duplicate detection","test-case","unique-444"
"445","The sentiment model helps me trust the sentiment results more.","positive","english","sentiment model","manual","unique-445"
"446","I had trouble using the spam detection on repeated test runs.","negative","english","spam detection","csv","unique-446"
"447","The Hinglish handling provides standard behavior for a sentiment tool.","neutral","english","Hinglish handling","review","unique-447"
"448","Urgent verification for Hindi comments, click now before account closes.","spam","english","Hindi comments","chat","unique-448"
"449","English comments fast hai aur user ko confuse nahi karta.","positive","hinglish","English comments","survey","unique-449"
"450","The mobile layout did not behave as expected with messy comments.","negative","hinglish","results dashboard","test-case","unique-218"
"451","charts project testing ke liye okay hai.","neutral","hinglish","charts","manual","unique-451"
"452","confidence scores free upgrade ke liye OTP share karo.","spam","hinglish","confidence scores","csv","unique-452"
"453","word cloud तेज है और सही जानकारी देता है।","positive","hindi","word cloud","review","unique-453"
"454","comment filtering की वजह से काम बीच में रुकता हुआ लगता है।","negative","hindi","comment filtering","chat","unique-454"
"455","CSV export परीक्षण के लिए उपयोगी है।","neutral","hindi","CSV export","survey","unique-455"
"456","backend API फ्री अपग्रेड पाने के लिए खाता सत्यापित करें।","spam","hindi","backend API","test-case","unique-456"
"457","I had a very good experience using the loading progress.","positive","english","loading progress","manual","unique-457"
"458","The mobile layout should show better errors when something fails.","negative","english","mobile layout","csv","unique-458"
"459","The error messages is acceptable for normal project testing.","neutral","english","error messages","review","unique-459"
"460","duplicate detection bonus claim karne ke liye mobile number bhejo.","spam","english","overall workflow","chat","unique-224"
"461","manual text input ka output mostly accurate aur helpful hai.","positive","hinglish","manual text input","survey","unique-461"
"462","CSV upload ko aur testing ki zarurat hai.","negative","hinglish","CSV upload","test-case","unique-462"
"463","column selection me basic options available hain.","neutral","hinglish","column selection","manual","unique-463"
"464","duplicate detection par guaranteed income, limited seats jaldi join karo.","spam","hinglish","duplicate detection","csv","unique-464"
"465","sentiment model की वजह से फीडबैक समझना आसान हुआ।","positive","hindi","sentiment model","review","unique-465"
"466","spam detection को और बेहतर परीक्षण चाहिए।","negative","hindi","spam detection","chat","unique-466"
"467","Hinglish handling में बुनियादी जानकारी मिल जाती है।","neutral","hindi","Hinglish handling","survey","unique-467"
"468","Hindi comments पर गारंटीड पैसा, मौका सीमित है।","spam","hindi","Hindi comments","test-case","unique-468"
"469","The English comments is simple for beginners and still useful for advanced users.","positive","english","English comments","manual","unique-469"
"470","spam detection का परिणाम हमेशा भरोसेमंद नहीं लगता।","negative","english","results dashboard","csv","unique-226"
"471","The charts has the required options and basic output.","neutral","english","charts","review","unique-471"
"472","Get free gift card for confidence scores, share OTP to confirm prize.","spam","english","confidence scores","chat","unique-472"
"473","word cloud beginner ke liye bhi easy hai.","positive","hinglish","word cloud","survey","unique-473"
"474","comment filtering ka response kabhi kabhi inconsistent lagta hai.","negative","hinglish","comment filtering","test-case","unique-474"
"475","CSV export ka experience neutral laga.","neutral","hinglish","CSV export","manual","unique-475"
"476","backend API gift voucher winner, details send karo now.","spam","hinglish","backend API","csv","unique-476"
"477","loading progress नए यूजर के लिए भी सरल है।","positive","hindi","loading progress","review","unique-477"
"478","mobile layout बाकी हिस्सों जितना मजबूत नहीं लगता।","negative","hindi","mobile layout","chat","unique-478"
"479","error messages न बहुत अच्छा है न बहुत खराब।","neutral","hindi","error messages","survey","unique-479"
"480","Earn money daily using confidence scores, register now and get paid.","spam","hindi","overall workflow","test-case","unique-232"
"481","The manual text input works smoothly and makes the analysis feel reliable.","positive","english","manual text input","manual","unique-481"
"482","The CSV upload feels slow and needs clearer feedback.","negative","english","CSV upload","csv","unique-482"
"483","The column selection is available and performs the basic task.","neutral","english","column selection","review","unique-483"
"484","Free sentiment tool premium access for duplicate detection, click this link now.","spam","english","duplicate detection","chat","unique-484"
"485","sentiment model bahut smooth hai, analysis karna easy lagta hai.","positive","hinglish","sentiment model","survey","unique-485"
"486","spam detection thoda confusing hai, user ko clear guidance chahiye.","negative","hinglish","spam detection","test-case","unique-486"
"487","Hinglish handling normal kaam karta hai, kuch khas issue nahi mila.","neutral","hinglish","Hinglish handling","manual","unique-487"
"488","Hindi comments ke liye free paisa offer, abhi click karo.","spam","hinglish","Hindi comments","csv","unique-488"
"489","English comments बहुत अच्छा काम करता है और परिणाम साफ दिखते हैं।","positive","hindi","English comments","review","unique-489"
"490","mobile layout में गलती आने पर संदेश साफ नहीं होता।","negative","hindi","results dashboard","chat","unique-238"
"491","charts सामान्य तरीके से काम करता है।","neutral","hindi","charts","survey","unique-491"
"492","confidence scores के लिए मुफ्त इनाम पाने के लिए अभी लिंक खोलें।","spam","hindi","confidence scores","test-case","unique-492"
"493","I like how the word cloud is clear, fast, and easy to understand.","positive","english","word cloud","manual","unique-493"
"494","I found the comment filtering confusing during testing.","negative","english","comment filtering","csv","unique-494"
"495","I used the CSV export once and it worked in an ordinary way.","neutral","english","CSV export","review","unique-495"
"496","Win cash by reviewing backend API, claim your reward today.","spam","english","backend API","chat","unique-496"
"497","Mujhe loading progress ka flow kaafi clear aur useful laga.","positive","hinglish","loading progress","survey","unique-497"
"498","mobile layout slow lagta hai jab comments zyada hote hain.","negative","hinglish","mobile layout","test-case","unique-498"
"499","error messages theek hai, basic requirement complete ho jati hai.","neutral","hinglish","error messages","manual","unique-499"
"500","Cheap promotion for duplicate detection, buy followers and boost reviews fast.","spam","hinglish","overall workflow","csv","unique-244"
